15 seconds no increase

  G9: Score 1.0 | P(Delta >= 5) = 0.802 | continue
  G10: Score 0.0 | P(Delta >= 5) = 0.610 | continue
  G11: Score 0.5 | P(Delta >= 5) = 0.625 | continue
  G12: Score 0.0 | P(Delta >= 5) = 0.475 | continue
  G13: Score 1.0 | P(Delta >= 5) = 0.630 | continue
  G14: Score 0.5 | P(Delta >= 5) = 0.613 | continue
  G15: Score 0.5 | P(Delta >= 5) = 0.615 | continue
  G16: Score 0.5 | P(Delta >= 5) = 0.620 | continue
  G17: Score 1.0 | P(Delta >= 5) = 0.717 | continue
  G18: Score 0.5 | P(Delta >= 5) = 0.715 | continue
  G19: Score 1.0 | P(Delta >= 5) = 0.797 | continue
  G20: Score 0.5 | P(Delta >= 5) = 0.785 | continue
  G21: Score 1.0 | P(Delta >= 5) = 0.881 | continue
  G22: Score 0.0 | P(Delta >= 5) = 0.782 | continue
  G23: Score 1.0 | P(Delta >= 5) = 0.832 | continue
  G24: Score 0.5 | P(Delta >= 5) = 0.840 | continue
  G25: Score 1.0 | P(Delta >= 5) = 0.887 | continue
  G26: Score 1.0 | P(Delta >= 5) = 0.927 | continue
  G27: Score 1.0 | P(Delta >= 5) = 0.957 | accept_H0

--- ITERATION 16: Tuning NMP_slope (86.64 -> 167.72) ---
  G1: Score 0.5 | P(Delta >= 5) = 0.497 | continue
  G2: Score 0.0 | P(Delta >= 5) = 0.160 | continue
  G3: Score 1.0 | P(Delta >= 5) = 0.501 | continue
  G4: Score 0.0 | P(Delta >= 5) = 0.290 | continue
  G5: Score 0.5 | P(Delta >= 5) = 0.283 | continue
  G6: Score 0.5 | P(Delta >= 5) = 0.279 | continue
  G7: Score 0.0 | P(Delta >= 5) = 0.181 | continue
  G8: Score 0.0 | P(Delta >= 5) = 0.109 | continue
  G9: Score 1.0 | P(Delta >= 5) = 0.212 | continue
  G10: Score 0.5 | P(Delta >= 5) = 0.215 | continue
  G11: Score 1.0 | P(Delta >= 5) = 0.336 | continue
  G12: Score 1.0 | P(Delta >= 5) = 0.479 | continue
  G13: Score 1.0 | P(Delta >= 5) = 0.597 | continue
  G14: Score 0.5 | P(Delta >= 5) = 0.605 | continue
  G15: Score 1.0 | P(Delta >= 5) = 0.724 | continue
  G16: Score 0.0 | P(Delta >= 5) = 0.592 | continue
  G17: Score 1.0 | P(Delta >= 5) = 0.688 | continue
  G18: Score 0.5 | P(Delta >= 5) = 0.673 | continue
  G19: Score 0.5 | P(Delta >= 5) = 0.699 | continue
  G20: Score 0.0 | P(Delta >= 5) = 0.601 | continue
  G21: Score 1.0 | P(Delta >= 5) = 0.667 | continue
  G22: Score 0.5 | P(Delta >= 5) = 0.675 | continue
  G23: Score 1.0 | P(Delta >= 5) = 0.732 | continue
  G24: Score 0.0 | P(Delta >= 5) = 0.649 | continue
  G25: Score 1.0 | P(Delta >= 5) = 0.726 | continue
  G26: Score 1.0 | P(Delta >= 5) = 0.796 | continue
  G27: Score 0.5 | P(Delta >= 5) = 0.798 | continue
  G28: Score 0.0 | P(Delta >= 5) = 0.703 | continue
  G29: Score 0.5 | P(Delta >= 5) = 0.714 | continue
  G30: Score 0.0 | P(Delta >= 5) = 0.639 | continue
  G31: Score 0.5 | P(Delta >= 5) = 0.631 | continue
  G32: Score 1.0 | P(Delta >= 5) = 0.683 | continue
  G33: Score 1.0 | P(Delta >= 5) = 0.754 | continue
